/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
20711174	Hor	20711174	GRASP1.0		19		Narcolepsy	Neuro;Sleep	8/15/10	y	Nat Genet	Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.		n	n	"562 European cases, 954 European controls"	"370 European cases, 495 European controls"	Affymetrix [392949]	European	2381	1516	1516												865	865																					
20711176	Nakashima	20711176	GRASP1.0		10		Keloid	Skin-related;Wound	8/15/10	y	Nat Genet	A genome-wide association study identifies four susceptibility loci for keloid in the Japanese population.		n	n	"178 Japanese cases, 906 Japanese controls"	"621 Japanese cases, 2271 Japanese controls"	Illumina [452038]	Asian	3976	1084			1084										2892			2892																			
20711177	Hamza	20711177	GRASP1.0		139		Parkinson's disease	Neuro;Parkinson's disease	8/15/10	y	Nat Genet	Common genetic variation in the HLA region is associated with late-onset sporadic Parkinson's disease.		n	n	"2000 EA cases, 1986 EA controls"	"Up to EA 1447 cases, 1468 controls"	Illumina [811597]	European	6901	3986	3986												2915	2915																					
20713499	Huang	20713499	GRASP1.0		24		"Schizophrenia, bipolar disorder and depression"	Neuro;Behavioral;Schizophrenia;Depression;Bipolar disorder	8/16/10	y	Am J Psychiatry	"Cross-disorder genomewide analysis of schizophrenia, bipolar disorder, and depression."		n	n	"402 EA schizophrenia cases, 1021 EA bipolar I cases, 493 EA bipolar II cases, 1210 EA MDD cases, 1060 EA controls"	NR	Affymetrix & Perlegen [1574154] (imputed)	European	4186	4186	4186																																		
20719862	Vitart	20719862	GRASP1.0		75		Central cornea thickness	Eye-related;Quantitative trait(s)	9/2/10	y	Hum Mol Genet	"New loci associated with central cornea thickness include COL5A1, AKAP13 and AVGR8."		n	n	1445 European individuals	5882 European individuals	Illumina [~2 million] (imputed)	European	7327	1445	1445												5882	5882																					
20729852	Abnet	20729852	GRASP1.0		31		Gastric adenocarcinoma and esophageal squamous cell carcinoma	Cancer;Gastric cancer;Esophageal cancer;Gastrointestinal	8/22/10	y	Nat Genet	A shared susceptibility locus in PLCE1 at 10q23 for gastric adenocarcinoma and esophageal squamous cell carcinoma.		n	n	"1625 Chinese gastric cancer cases, 1898 Chinese ESCC cases, 2100 Chinese controls"	NR	Illumina [551152]	Asian	5623	5623			5623																																
20729853	Wang	20729853	GRASP1.0		28		Esophageal cancer (esophageal squamous cell carcinoma)	Cancer;Skin-related;Esophageal cancer	8/22/10	y	Nat Genet	Genome-wide association study of esophageal squamous cell carcinoma in Chinese subjects identifies susceptibility loci at PLCE1 and C20orf54.		n	n	"1077 Chinese Han descent cases, 1733 Chinese Han descent controls"	"7673 Chinese Han descent cases, 11013 Chinese Han descent controls, 303 Chinese Uygur-Kazakh cases, 537 Chinese Uygur-Kazakh controls"	Illumina [506666]	Asian	22336	2810			2810										19526			19526																			
20732625	Neale	20732625	GRASP1.0		100		ADHD	Neuro;Behavioral;Attention-deficit/hyperactivity disorder (ADHD)	8/1/10	n	J Am Acad Child Adolesc Psychiatry	Meta-analysis of genome-wide association studies of		n	n	"6192 mostly EA samples (from trios), 896 cases, and 2455 controls mostly"	NR	"Affymetrix, Illumina & Perlegen [1206462] (imputed)"	European	9543	9543	9543																																		
20732626	Mick	20732626	GRASP1.0		43		ADHD	Neuro;Behavioral;Attention-deficit/hyperactivity disorder (ADHD)	5/14/10	y	J Am Acad Child Adolesc Psychiatry	Family-based genome-wide association scan of attention-deficit/hyperactivity disorder.		n	n	"1352 EA samples, 118 (unspecified) samples"	NR	Illumina [835136]	European/Unspecified	1470	1470	1352									118																									
20732627	Neale	20732627	GRASP1.0		100		ADHD	Neuro;Behavioral;Attention-deficit/hyperactivity disorder (ADHD)	8/5/10	y	J Am Acad Child Adolesc Psychiatry	Case-control genome-wide association study of attention-deficit/hyperactivity disorder.		n	n	"896 EA cases, 2455 EA controls"	NR	Affymetrix [1033244] (imputed)	European	3351	3351	3351																																		
20800221	Terracciano A	20800221	GRASP1.0		2202		Depressive affect	Neuro;Behavioral;Depression	8/25/10	y	Biol Psychiatry	Genome-wide association scan of trait depression.		n	n	"3972 Italian individuals, 839 EA individuals"	NR	Affymetrix & Illumina [up to 2.5 million] (imputed)	European	4811	4811	4811																																		
20801717	Shatunov	20801717	GRASP1.0		73		Amyotrophic Lateral Sclerosis (ALS)	Neuro;Amyotrophic lateral sclerosis (ALS)	8/27/10	y	Lancet Neurol	Chromosome 9p21 in sporadic amyotrophic lateral sclerosis in the UK and seven other countries: a genome-wide association study.		n	n	"4857 EA cases, 8987 EA controls"	NR	Illumina [227475]	European	13844	13844	13844																																		
20801718	Laaksovirta	20801718	GRASP1.0		81		Amyotrophic Lateral Sclerosis (ALS)	Neuro;Amyotrophic lateral sclerosis (ALS)	8/27/10	y	Lancet Neurol	Chromosome 9p21 in amyotrophic lateral sclerosis in Finland: a genome-wide association study.		n	n	"405 Finnish cases, 497 Finnish controls"	NR	Illumina [318167]	European	902	902	902																																		
20802025	Tang	20802025	GRASP1.0		511		"Protein-C levels, in plasma"	Quantitative trait(s);Blood-related;Plasma	8/27/10	y	Blood	Genome-wide association study identifies novel loci for plasma levels of protein C: the ARIC study.		n	n	8048 EA individuals	1376 EA individuals	Affymetrix [2461269]	European	9424	8048	8048												1376	1376																					
20802204	Baranzini SE	20802204	GRASP1.0		59		"Multiple sclerosis, glutamate concentrations in brains in"	Quantitative trait(s);Neuro;Inflammation;Multiple sclerosis (MS)	9/1/10	y	Brain	Genetic variation influences glutamate concentrations in brains of patients with multiple sclerosis.		n	n	372 EA cases	NR	Illumina [~500000]	European	372	372	372																																		
20802479	Anttila (IHGC)	20802479	GRASP1.0		20		Migraine	Neuro	8/29/10	y	Nat Genet	Genome-wide association study of migraine implicates a common susceptibility variant on 8q22.1.		n	n	"2731 European cases, 10747 European controls"	"3202 European cases, 40062 European controls"	Illumina [429912]	European	56742	13478	13478												43264	43264																					
20808326	Krumbiegel	20808326	GRASP1.0		21		Pseudoexfoliation syndrome	Eye-related;Glaucoma	9/1/10	y	Eur J Hum Genet	Genome-wide association study with DNA pooling identifies variants at CNTNAP2 associated with pseudoexfoliation syndrome.		n	n	"160 German cases, 80 German subjects"	"610 German cases, 364 German controls, 249 Italian cases, 190 Italian controls"	Affymetrix [~500000] (pooled)	European	1653	240	240												1413	1413																					
20811658	Uhl	20811658	GRASP1.0		336		"Nicotine, smoking cessation"	Neuro;Addiction;Smoking;CVD risk factor (CVD RF)	8/24/10	y	Mol Med	Genome-wide association for smoking cessation success in a trial of precessation nicotine replacement.		n	n	369 European American smokers	NR	Affymetrix [905273]	European	369	369	369																																		
20818381	Yamauchi	20818381	GRASP1.0		101		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	9/5/10	y	Nat Genet	A genome-wide association study in the Japanese population identifies susceptibility loci for type 2 diabetes at UBE2E2 and C2CD4A-C2CD4B.		n	n	"4470 Japanese cases, 3071 Japanese controls"	"10692 Japanese cases, 9597 Japanese controls, 6980 European cases, 8615 controls"	Illumina [459359]	Mixed	43425	7541			7541										35884	15595		20289																			
20818722	Naylor	20818722	GRASP1.0		20		Body mass index (BMI)	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index	8/17/10	n	Genet Epidemiol	A Bayesian approach to genetic association studies with family-based designs.		n	n	1167 individuals (unspecified ancestry)	NR	Illumina [500000]	Unspecified	1167	1167										1167																									
20825314	Baratz	20825314	GRASP1.0		17		Fuch's corneal dystrophy	Eye-related	9/9/10	y	N Engl J Med	E2-2 protein and Fuchs's corneal dystrophy.		n	n	"130 EA cases, 260 EA controls"	"150 EA cases, 150 EA controls"	Illumina [~370000]	European	690	390	390												300	300																					
20826269	Panicker	20826269	GRASP1.0		52		"Thyrotropin and thyroid function, in serum"	Quantitative trait(s);Blood-related;Thyroid;Serum	9/10/10	y	Am J Hum Genet	A locus on chromosome 1p36 is associated with thyrotropin and thyroid function as identified by genome-wide association study.		n	n	2014 UK twins	1093 Australian individuals	Illumina [2120505]	European	3107	2014	2014												1093	1093																					
20830292	Savas	20830292	GRASP1.0		4		Selenium resistance in NCI60 cancer cell lines	Treatment response;Cytotoxicity;Cancer-related;Cell line	9/7/10	n	PLoS One	A whole-genome SNP association study of NCI60 cell line panel indicates a role of		n	n	46 NCI cancer cell lines (mixed ancestry)	NR	Affymetrix [79622]	Mixed	46	46									46																										
20832056	Ikeda	20832056	GRASP1.0		200		Schizophrenia	Neuro;Behavioral;Schizophrenia	9/8/10	y	Biol Psychiatry	Genome-wide association study of schizophrenia in a Japanese population.		n	n	"560 Japanese cases, 548 Japanese controls"	"1511 Japanese cases, 2451 Japanese controls, 479 U.K.  cases,2938 U.K. controls"	Affymetrix [297645]	Mixed	8487	1108			1108										7379	3417		3962																			
20833654	Murphy	20833654	GRASP1.0		7007	1	Gene expression in CD4+ lymphocytes	Quantitative trait(s);Gene expression (RNA);Blood-related	9/10/10	n	Hum Mol Genet	Mapping of numerous disease-associated expression polymorphisms in primary		n	n	200 CD4+ lymphocyte samples in EA asthmatics	NR	Illumina [510689]	European	200	200	200																																		
20833655	Cha	20833655	GRASP1.0		31		Warfarin responsiveness	Drug response;Blood-related	9/10/10	y	Hum Mol Genet	Genome-wide association study identifies genetic determinants of warfarin responsiveness for Japanese.		n	n	"807 low dose Japanese, 707 high dose Japanese"	444 Japanese individuals	Illumina [485227]	Asian	1958	1514			1514										444			444																			
20833657	Tanaka	20833657	GRASP1.0		10		Esophageal cancer (esophageal squamous cell carcinoma)	Cancer;Skin-related;Esophageal cancer	9/19/10	n	Gut	Strong interaction between the effects of alcohol consumption and smoking on		n	n	209 Japanese cases and 1079 controls	"479 Japanese cases + 863 controls, 365 Japanese cases + 780 controls"	Affymetrix [234830]	Asian	3775	1288			1288										2487			2487																			
20834067	Yashin	20834067	GRASP1.0	1	0		Longevity	Aging;Mortality	8/26/10	y	Aging (Albany NY)	Joint influence of small-effect genetic variants on human longevity.		n	n	1173 EA individuals	NR	Affymetrix [550000] (unspecified)	European	1173	1173	1173																																		
20835236	Hysi	20835236	GRASP1.0		29		Myopia and refractive errors	Eye-related;Developmental	9/12/10	y	Nat Genet	A genome-wide association study for myopia and refractive error identifies a susceptibility locus at 15q25.		n	n	4270 UK twins	13414 EA adults	Illumina [~2.2 million] (imputed)	European	17684	4270	4270												13414	13414																					
20835238	Thorleifsson G	20835238	GRASP1.0		98		"Glaucoma, open-angle"	Eye-related;Glaucoma	9/12/10	y	Nat Genet	Common variants near CAV1 and CAV2 are associated with primary open-angle glaucoma.		n	n	"1263 Icelandic cases, 34887 Icelandic controls"	"2175 EA cases, 2064 EA controls"	Illumina [303117]	European	40389	36150	36150												4239	4239																					
20835239	Solouki	20835239	GRASP1.0		31		Myopia and refractive errors	Eye-related;Developmental	9/12/10	y	Nat Genet	A genome-wide association study identifies a susceptibility locus for refractive errors and myopia at 15q14.		n	n	5328 EA individuals	10280 EA individuals	Illumina [~2.5 million] (imputed)	European	15608	5328	5328												10280	10280																					
20838585	Smith	20838585	GRASP1.0		47		"CVD risk factors and quantitative traits (blood pressure, heart rate, LDL cholesterol, HDL cholesterol, total cholesterol, triglycerides, glucose, insulin, height, weight, waist circumference)"	CVD risk factor (CVD RF);Quantitative trait(s);Blood pressure;Lipids;Weight;T2D-related;Height;Heart rate	9/9/10	y	PLoS Genet	Longitudinal genome-wide association of cardiovascular disease risk factors in the Bogalusa heart study.		n	n	525 EA individuals	2265 Finnish individuals	Illumina [545821]	European	2790	525	525												2265	2265																					
20844546	Adachi	20844546	GRASP1.0		41		Endometriosis	Reproductive;Gender;Female	9/16/10	y	J Hum Genet	Meta-analysis of genome-wide association scans for genetic susceptibility to endometriosis in Japanese population.		y	y	"696 Japanese cases, 825 Japanese controls"	NR	Affymetrix [282838]	Asian	1521	1521			1521																																
20844574	Inouye	20844574	GRASP1.0		6	1	Gene expression in blood cells	Quantitative trait(s);Gene expression (RNA);Blood-related	9/9/10	n	PLoS Genet	An immune response network associated with blood lipid levels.		n	n	518 Northern European fasting whole blood samples	NR	Illumina [2061516] (imputed)	European	518	518	518																																		
20848476	Haritunians	20848476	GRASP1.0		8		"Ulcerative colitis, refractory"	Inflammation;Gastrointestinal;Ulcerative colitis	5/18/10	n	Inflamm Bowel Dis	Genetic predictors of medically refractory ulcerative colitis.		n	n	"861 British cases (324 MR-UC and 537 non-MR-UC), 2601 EA non-IBD controls"	NR	Illumina [313720]	European	3462	3462	3462																																		
20849430	Franklin	20849430	GRASP1.0		1		"Hemoglobin (HbA1c, glycated hemoglobin levels)"	Quantitative trait(s);Blood-related	9/16/10	y	Ann Hum Genet	The TCF7L2 diabetes risk variant is associated with HbA??(C) levels: a genome-wide association meta-analysis.		n	n	1782 non-diabetic Scottish and Croatian individuals	NR	Illumina [256587]	European	1782	1782	1782																																		
20852631	Antoniou	20852631	GRASP1.0		220		"Breast cancer, BRCA1-positive "	Cancer;Breast cancer;Gender;Female	9/19/10	y	Nat Genet	A locus on 19p13 modifies risk of breast cancer in BRCA1 mutation carriers and is associated with hormone receptor-negative breast cancer in the general population.		y	y	1193 EA cases + 1190 controls	3012 EA cases + 2974 controls	Illumina [555616]	European	8369	2383	2383												5986	5986																					
20852632	Goode	20852632	GRASP1.0		86		Ovarian cancer	Cancer;Ovarian cancer;Reproductive;Gender;Female	9/19/10	y	Nat Genet	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.		y	y	"1768 EA cases, 2354 EA controls"	"8709 EA cases, 51764 EA controls"	Illumina [2056878] (imputed)	European	64595	4122	4122												60473	60473																					
20852633	Bolton	20852633	GRASP1.0		9		Ovarian cancer	Cancer;Ovarian cancer;Reproductive;Gender;Female	9/19/10	y	Nat Genet	Common variants at 19p13 are associated with susceptibility to ovarian cancer.		y	y	"1768 EA cases, 2353 EA controls"	"8739 EA cases, 10831 EA controls"	Illumina [540573]	European	23691	4121	4121												19570	19570																					
20858683	Soranzo	20858683	GRASP1.0		45		"Hemoglobin (HbA1c, glycated hemoglobin levels)"	Quantitative trait(s);Blood-related	9/21/10	y	Diabetes	Common variants at 10 genomic loci influence hemoglobin A??(C) levels via glycemic and nonglycemic pathways.		n	n	Up to 46368 EA individuals	NR	Affymetrix & Illumina [~2.5 million] (imputed)	European	46368	46368	46368																																		
20860503	Moffat	20860503	GRASP1.0		32945		Asthma	Asthma;Pulmonary;Chronic lung disease;Inflammation	9/23/10	y	N Engl J Med	"A large-scale, consortium-based genomewide association study of asthma."		n	n	"10365 EA cases, 16110 controls"	NR	Illumina [582892]	European	26475	26475	26475																																		
20861866	Kopplin	20861866	GRASP1.0		93		Age-related macular degeneration	Eye-related;Aging;Age-related macular degeneration (ARMD)	9/23/10	y	Genes Immun	Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.		n	n	"293 unspecified samples (from families), 391 EA cases, 188 EA controls"	"1241 EA cases, 622 EA controls, 655 Northern EA cases, 1244 Northern EA controls"	Affymetrix [>361556] (imputed)	European	4634	872	872												3762	3762																					
20862305	Shu	20862305	GRASP1.0		164		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF);Gender;Male;Female	9/16/10	y	PLoS Genet	Identification of new genetic risk variants for type 2 diabetes.		y	n	"1019 Chinese female cases, 1710 Chinese female controls"	"5142 Chinese cases, 6910 Chinese controls, 2591 EA cases, 3052 EA controls, 1042 Korean cases, 2943 Korean controls"	Affymetrix [590887]	Mixed	24409	2729			2729										21680	5643		16037																			
20864672	Waterworth	20864672	GRASP1.0		118		Lipid level measurements	CVD risk factor (CVD RF);Lipids	9/23/10	y	Arterioscler Thromb Vasc Biol	Genetic variants influencing circulating lipid levels and risk of coronary artery disease.		n	n	Up to 17243 EA individuals	"Up to 37774 EA individuals, up to 9665 Indian Asian individuals"	"Affymetrix, Illumina & Perlegen [2155369] (imputed)"	Mixed	64682	17243	17243												47439	37774			9665																		
20871597	Miki	20871597	GRASP1.0		49		Lung cancer (lung adenocarcinoma)	Cancer;Lung cancer;Pulmonary	9/26/10	y	Nat Genet	Variation in TP63 is associated with lung adenocarcinoma susceptibility in Japanese and Korean populations.		n	n	"1004 Japanese cases, 1900 Japanese controls"	"525 Japanese cases, 7678 Japanese controls, 569 Korean cases, 1470 Korean controls"	Illumina [432024]	Asian	13146	2904			2904										10242			10242																			
20871662	Fu	20871662	GRASP1.0		4817		Diabetic retinopathy	Eye-related;Type 2 diabetes (T2D)	9/2/10	y	J Ophthalmol	"Identification of Diabetic Retinopathy Genes through a Genome-Wide Association Study among Mexican-Americans from Starr County, Texas."		n	n	286 Mexican-American diabetics	NR	Affymetrix [421010] (imputed)	Hispanic	286	286					286																														
20872241	Li	20872241	GRASP1.0		160		Breast cancer meta	Cancer;Breast cancer;Gender;Female	9/26/10	y	Breast Cancer Res Treat	A combined analysis of genome-wide association studies in breast cancer.		y	y	"2702 EA women, 5726 EA controls"	"Up to 7386 EA cases, 7576 EA controls"	Illumina [285984]	European	23390	8428	8428												14962	14962																					
20876420	Ingle	20876420	GRASP1.0		15		"Breast cancer, adverse effects to aromatase inhibitors"	Drug response;Adverse drug reaction (ADR);Cancer;Breast cancer;Gender;Female	9/27/10	y	J Clin Oncol	Genome-wide associations and functional genomic studies of musculoskeletal adverse events in women receiving aromatase inhibitors.		y	y	"293 EA cases, 585 controls"	NR	Illumina [551395]	European	878	878	878																																		
20876611	Wu	20876611	GRASP1.0		16		Adiponectin levels in women	Quantitative trait(s);Adipose-related;Gender;Female;Male	9/27/10	y	Hum Mol Genet	Genome-wide association study for adiponectin levels in Filipino women identifies CDH13 and a novel uncommon haplotype at KNG1-ADIPOQ.		y	n	1776 Filipino women	1774 independent Filipino offspring	Affymetrix [2073674] (imputed)	Filipino	3550	1776											1776		1774											1774											
20876614	Yoon	20876614	GRASP1.0		192		Lung cancer (non-small cell lung cancer)	Cancer;Lung cancer;Pulmonary	9/28/10	y	Hum Mol Genet	A genome-wide association study reveals susceptibility variants for non-small cell lung cancer in the Korean population.		n	n	"621 Korean cases, 1541 Korean controls"	"804 Korean cases, 1470 Korean controls"	Affymetrix [246758]	Asian	4436	2162			2162										2274			2274																			
20877124	Hiura	20877124	GRASP1.0		11928		"Blood pressure, CVD RF and other traits (body mass index (BMI), waist:hip ratio, renin activity in plasma, aldosterone concentration in plasma, BNP levels in plasma, alcohol consumption)"	Quantitative trait(s);Blood pressure;Blood-related;CVD risk factor (CVD RF);Body mass index;Weight;Addiction;Plasma	9/18/10	y	Circ J	A genome-wide association study of hypertension-related phenotypes in a Japanese population.		n	n	936 Japanese individuals	6123 Japanese individuals	Illumina [368274]	Asian	7059	936			936										6123			6123																			
20877300	Perroud	20877300	GRASP1.0		61		"Suicidal ideation with antidepressant (escitaloprim, nortriptyline) treatment"	Drug response;Neuro;Behavioral;Depression	9/28/10	y	Pharmacogenomics J	Genome-wide association study of increasing suicidal ideation during antidepressant treatment in the GENDEP project.		n	n	706 EA individuals	NR	Illumina [539199]	European	706	706	706																																		
20881960	Lango Allen	20881960	GRASP1.0		186104		Height	Quantitative trait(s);Height	9/29/10	y	Nature	Hundreds of variants clustered in genomic loci and biological pathways affect human height.		n	n	133653 EA individuals	50074 EA individuals	"Affymetrix, Illumina & Perlegen [2834208] (imputed)"	European	183727	133653	133653												50074	50074																					
20884846	Yang	20884846	GRASP1.0		1066		"Urate (in serum), gout"	Quantitative trait(s);Blood-related;Inflammation;Arthritis;Serum;Gender;Male;Female	9/30/10	y	Circ Cardiovasc Genet	Multiple genetic loci influence serum urate levels and their relationship with gout and cardiovascular disease risk factors.		y	n	28283 EA individuals	22054 EA women	Affymetrix & Illumina [~2.5 million] (imputed)	European	50337	28283	28283												22054	22054																					
20885792	Naj	20885792	GRASP1.0		181		"Alzheimer's disease, late onset"	Neuro;Alzheimer's disease	9/23/10	y	PLoS Genet	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.		n	n	"931 (unspecified) cases, 1104 controls"	"1338 (unspecified) cases, 2003 controls"	Illumina [483399]	Unspecified	5376	2035										2035			3341										3341												
20887962	Jee	20887962	GRASP1.0		88		"Adiponectin, in serum"	Quantitative trait(s);Adipose-related;Serum	10/8/10	y	Am J Hum Genet	Adiponectin concentrations: a genome-wide association study.		n	n	4001 Korean individuals	2304 Korean individuals	Affymetrix [up to 354357]	Asian	6305	4001			4001										2304			2304																			
20889312	Wang	20889312	GRASP1.0		2651		Bipolar disorder and schizophrenia	Neuro;Behavioral;Schizophrenia;Bipolar disorder	12/1/10	y	Schizophr Res	A genome-wide meta-analysis identifies novel loci associated with schizophrenia and bipolar disorder.		n	n	"651 European American bipolar cases, 1171 European American schizophrenia cases, 2412 European American controls"	NR	Affymetrix [722112]	European	4234	4234	4234																																		
20920776	Dewan	20920776	GRASP1.0		19		Asthma	Asthma;Pulmonary;Chronic lung disease;Inflammation	10/1/10	y	J Allergy Clin Immunol	PDE11A associations with asthma: results of a genome-wide association scan.		n	n	"28 EA cases + 19 controls, 11 AA cases + 4 controls, 18 Hispanic cases + 14 controls, 14 biracial samples"	"46 EA cases + 386 controls, 12 AA cases + 32 controls, 24 Hispanic cases + 42 controls, 65 biracial samples"	Affymetrix [396207]	Mixed	715	108	47	15			32				14				607	432	44			66				65													
20921969	Aberg	20921969	GRASP1.0		4		"ECG (Electrocardiogram measurements), QT interval prolongation with antipsychotic treatment"	Drug response;Neuro;Depression;Adverse drug reaction (ADR);Quantitative trait(s);Heart	10/5/10	y	Pharmacogenomics J	Genome-wide association study of antipsychotic-induced QTc interval prolongation.		n	n	"417 EA cases, 217 AA cases, 104 (unspecified) unspecified cases"	NR	Affymetrix [492000]	Mixed	738	738	417	217								104																									
20923822	Niu	20923822	GRASP1.0		1415	1	Radiation-induced damage on blood cell lines	Gene expression (RNA);Radiation;Cytotoxicity;Cell line	10/5/10	y	Genome Res	Radiation pharmacogenomics: a genome-wide association approach to identify radiation response biomarkers using human lymphoblastoid cell lines.		n	n	"Human lymphoblastoid cell lines from 93 African Americans, 89 EA, and 95 Han Chinese Americans"	NR	Affymetrix & Illumina [1348798]	Mixed	277	277	89	93	95																																
20927387	Kullo	20927387	GRASP1.0		26		"Blood cell counts and traits, in red blood cells"	Quantitative trait(s);Blood-related	9/28/10	y	PLoS One	A genome-wide association study of red blood cell traits using the electronic medical record.		n	n	3012 EA individuals	NR	Illumina [489421]	European	3012	3012	3012																																		
20932310	Han	20932310	GRASP1.0		101		"Tau protein levels, in cerebrospinal fluid (CSF)"	Quantitative trait(s);Neuro;Alzheimer's disease	10/8/10	y	BMC Neurol	Genome-wide association reveals genetic effects on human Aë_42 and ì? protein levels in cerebrospinal fluids: a case control study.		n	n	"761 EA, 39 AA, 14 Asian, 3 unspecified, 1 American Indian or Alaskan native"	NR	Illumina [498205]	Mixed	818	818	761	39	14			1				3																									
20932654	Kerns	20932654	GRASP1.0		34		Erectile dysfunction	Reproductive;Gender;Male	10/5/10	y	Int J Radiat Oncol Biol Phys	Genome-wide association study to identify single nucleotide polymorphisms (SNPs) associated with the development of erectile dysfunction in African-American men after radiotherapy for prostate cancer.		y	y	"27 African American cases, 52 African American controls"	NR	Affymetrix [512497]	African	79	79		79																																	
20935629	Heid	20935629	GRASP1.0		134670		Waist:hip ratio	Quantitative trait(s);Weight	10/10/10	y	Nat Genet	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.		n	n	Up to 77167 EA individuals	Up to 113636 EA individuals	"Affymetrix, Illumina & Perlegen [up to 2850269] (imputed)"	European	190803	77167	77167												113636	113636																					
20935630	Speliotes	20935630	GRASP1.0		150921		Body mass index (BMI)	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index	10/10/10	y	Nat Genet	"Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index."		n	n	Up to 123865 EA individuals	Up to 125931 EA individuals	"Affymetrix, Illumina and Perlegen [~2.8 million] (imputed)"	European	249796	123865	123865												125931	125931																					
20939080	Greenbaum	20939080	GRASP1.0		24		Tardive dyskinesia	Neuro;Muscle-related;Movement-related	10/11/10	y	Mov Disord	Evidence for association of the GLI2 gene with tardive dyskinesia in patients with chronic schizophrenia.		n	n	"88 EA cases, 40 AA cases, 3 unspecified ancestry cases, 129 EA controls, 62 AA controls, 5 unspecified ancestry controls"	"52 Ashkenazi ancestry TD individuals, 44 unspecified ancestry individuals, 41 Ashkenazi ancestry non-TD individuals, 33 unspecified ancestry non-TD individuals"	Perlegen [495172]	Mixed	497	327	217	102								8			170	93									77												
20947153	Ueta	20947153	GRASP1.0		8		Stevens-Johnson syndrome	Drug response;Adverse drug reaction (ADR);Inflammation;Skin-related	10/12/10	y	J Allergy Clin Immunol	Association between prostaglandin E receptor 3 polymorphisms and Stevens-Johnson syndrome identified by means of a genome-wide association study.		n	n	60 Japanese cases + 300 controls	175 Japanese cases + 608 controls	Affymetrix [313924]	Asian	1143	360			360										783			783																			
20953186	Huffmeier	20953186	GRASP1.0		40		Psoriasis and psoriatic arthritis	Skin-related;Arthritis	10/17/10	y	Nat Genet	Common variants at TRAF3IP2 are associated with susceptibility to psoriatic arthritis and psoriasis.		n	n	"572 German cases, 888 German controls"	"Up to 1761 EA cases, 3727 EA controls"	Affymetrix [1585307] (imputed)	European	6948	1460	1460												5488	5488																					
20953187	Sun	20953187	GRASP1.0		83		Psoriasis	Skin-related	10/17/10	n	Nat Genet	Association analyses identify six new psoriasis susceptibility loci in the		n	n	1139 Chinese cases + 1227 controls	"7173 Chinese cases + 11692 controls, 823 German (unspecified) cases + 1840 controls, 2470 US cases (unspecified) + 2348 controls, 508+ US samples (unspecified)"	Illumina [494902]	Mixed	29220	2366			2366										26854	7989		18865																			
20953188	Ellinghaus	20953188	GRASP1.0		160		Psoriasis	Skin-related	10/17/10	y	Nat Genet	Genome-wide association study identifies a psoriasis susceptibility locus at TRAF3IP2.		n	n	"472 German cases, 1146 German controls"	"681 German cases + 1824 controls, 3290 US cases + 2983 controls, 2044 Canadian cases + 2084 controls"	Illumina [2339118] (imputed)	European	14524	1618	1618												12906	12906																					
20953189	Stuart	20953189	GRASP1.0		112		Psoriasis	Skin-related	10/17/10	y	Nat Genet	Genome-wide association analysis identifies three psoriasis susceptibility loci.		n	n	"Up to EA 1831 cases, 2546 controls"	"Up to 4064 (presumed) EA cases, 4685 controls"	Illumina & Perlegen [up to 7456344] (imputed)	European	13126	4377	4377												8749	8749																					
20953190	Strange	20953190	GRASP1.0		164		Psoriasis	Skin-related	10/17/10	y	Nat Genet	A genome-wide association study identifies new psoriasis susceptibility loci and an interaction between HLA-C and ERAP1.		n	n	"2178 EA cases, 5175 EA controls"	"3174 EA cases, 5464 EA controls"	Illumina [535475]	European	15991	7353	7353												8638	8638																					
